,name,latitude_deg,longitude_deg,iso_country,iata_code
49438,Holy Cross Airport,62.1883011,-159.7749939,US,HCR
49440,Huslia Airport,65.6978989,-156.3509979,US,HSL
49441,Haines Airport,59.2438011,-135.5240021,US,HNS
49442,Homer Airport,59.6455994,-151.477005,US,HOM
49443,Hooper Bay Airport,61.5238991,-166.1470032,US,HPB
49450,Egegik Airport,58.184386,-157.374873,US,EGX
49451,Bob Baker Memorial Airport,66.9759979,-160.4369965,US,IAN
49452,Iliamna Airport,59.7543984,-154.9109955,US,ILI
49453,Indian Mountain LRRS Airport,65.9927978,-153.7039948,US,UTO
49457,Juneau International Airport,58.3549995,-134.576004,US,JNU
49466,King Salmon Airport,58.677845,-156.651965,US,AKN
49468,Anaktuvuk Pass Airport,68.1335983,-151.7429962,US,AKP
49469,Ketchikan International Airport,55.3555984,-131.7140045,US,KTN
49472,Klawock Airport,55.579201,-133.076004,US,KLW
49479,Cape Lisburne LRRS Airport,68.8750992,-166.1100006,US,LUR
49481,McGrath Airport,62.9528999,-155.6060028,US,MCG
49488,Merrill Field,61.213501,-149.8439941,US,MRI
49490,Mekoryuk Airport,60.3713989,-166.2709961,US,MYU
49492,Ted Stevens Anchorage International Airport,61.1744,-149.996002,US,ANC
49493,Aniak Airport,61.5816002,-159.5429993,US,ANI
49494,Nenana Municipal Airport,64.548772,-149.074516,US,ENN
49497,Annette Island Airport,55.037026,-131.572695,US,ANN
49499,Anvik Airport,62.646702,-160.190994,US,ANV
49504,Nome Airport,64.5121994,-165.4450073,US,OME
49506,Northway Airport,62.9612999,-141.9290009,US,ORT
